City,'-2 - 3,3 - 10,10 - 17,17 - 23,23 - 30
Cape Town,0,0,0,27,4
London,0,20,11,0,0
New York,2,19,10,0,0
Sydney,0,0,0,27,4
Tokyo,2,16,8,5,0
